image,predicted_labels
../data/temp/archive\person_-1_000189_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, hairBlack, upperBodyBlack"
../data/temp/archive\person_-1_000190_0.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, footwearWhite, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_-1_000678_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, hairShort, lowerBodyTrousers, lowerBodyBlack"
../data/temp/archive\person_-1_000796_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, hairShort, upperBodyShortSleeve, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_-1_001024_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_-1_001866_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, lowerBodyBlack"
../data/temp/archive\person_-1_002169_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyGreen"
../data/temp/archive\person_-1_002802_0.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing"
../data/temp/archive\person_-1_002845_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack"
../data/temp/archive\person_-1_002963_0.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, hairShort, lowerBodyTrousers, hairBlack, upperBodyBlack"
../data/temp/archive\person_-1_003427_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, upperBodyBlack"
../data/temp/archive\person_-1_003894_0.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyBlack, upperBodyWhite"
../data/temp/archive\person_-1_004092_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyTrousers, upperBodyGrey"
